Count,Average Sample Interval,Average Typename,Edge Response Bytes Sum,Number of Visits,Sum's Typename,Dimensions Metric,Dimensions' Typename,Typename
5964,5.015979814970564,ZoneHttpRequestsAdaptiveGroupsAvg,34240396,104,ZoneHttpRequestsAdaptiveGroupsSum,MK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5808,4.450574712643678,ZoneHttpRequestsAdaptiveGroupsAvg,393402948,4,ZoneHttpRequestsAdaptiveGroupsSum,T1,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5684,5.486486486486487,ZoneHttpRequestsAdaptiveGroupsAvg,30661212,152,ZoneHttpRequestsAdaptiveGroupsSum,CY,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5348,5.192233009708738,ZoneHttpRequestsAdaptiveGroupsAvg,33536596,236,ZoneHttpRequestsAdaptiveGroupsSum,BA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5324,5.366935483870968,ZoneHttpRequestsAdaptiveGroupsAvg,36282656,104,ZoneHttpRequestsAdaptiveGroupsSum,LU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5140,5.473908413205538,ZoneHttpRequestsAdaptiveGroupsAvg,26857132,124,ZoneHttpRequestsAdaptiveGroupsSum,LK,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
5012,4.952569169960475,ZoneHttpRequestsAdaptiveGroupsAvg,32539844,88,ZoneHttpRequestsAdaptiveGroupsSum,KE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
4656,5.150442477876106,ZoneHttpRequestsAdaptiveGroupsAvg,28080468,56,ZoneHttpRequestsAdaptiveGroupsSum,MT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
4616,4.952789699570816,ZoneHttpRequestsAdaptiveGroupsAvg,26836916,164,ZoneHttpRequestsAdaptiveGroupsSum,CR,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
4472,5.381468110709988,ZoneHttpRequestsAdaptiveGroupsAvg,23556384,64,ZoneHttpRequestsAdaptiveGroupsSum,PA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
4356,5.27360774818402,ZoneHttpRequestsAdaptiveGroupsAvg,24340860,156,ZoneHttpRequestsAdaptiveGroupsSum,NP,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
4296,5.006993006993007,ZoneHttpRequestsAdaptiveGroupsAvg,26081492,136,ZoneHttpRequestsAdaptiveGroupsSum,DZ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3900,4.875,ZoneHttpRequestsAdaptiveGroupsAvg,23816144,196,ZoneHttpRequestsAdaptiveGroupsSum,TN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3776,4.816326530612245,ZoneHttpRequestsAdaptiveGroupsAvg,8881664,40,ZoneHttpRequestsAdaptiveGroupsSum,SV,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3668,5.2250712250712255,ZoneHttpRequestsAdaptiveGroupsAvg,30843408,88,ZoneHttpRequestsAdaptiveGroupsSum,KZ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3640,5.252525252525253,ZoneHttpRequestsAdaptiveGroupsAvg,21847240,72,ZoneHttpRequestsAdaptiveGroupsSum,GE,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3536,5.132075471698113,ZoneHttpRequestsAdaptiveGroupsAvg,29311784,100,ZoneHttpRequestsAdaptiveGroupsSum,UY,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
3224,5.4367622259696455,ZoneHttpRequestsAdaptiveGroupsAvg,24780620,124,ZoneHttpRequestsAdaptiveGroupsSum,IQ,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2908,5.0398613518197575,ZoneHttpRequestsAdaptiveGroupsAvg,13206500,76,ZoneHttpRequestsAdaptiveGroupsSum,GT,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2888,4.9879101899827285,ZoneHttpRequestsAdaptiveGroupsAvg,15289776,8,ZoneHttpRequestsAdaptiveGroupsSum,BB,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2868,5.214545454545455,ZoneHttpRequestsAdaptiveGroupsAvg,16504236,128,ZoneHttpRequestsAdaptiveGroupsSum,EC,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2384,5.228070175438597,ZoneHttpRequestsAdaptiveGroupsAvg,17769584,96,ZoneHttpRequestsAdaptiveGroupsSum,BY,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2364,5.184210526315789,ZoneHttpRequestsAdaptiveGroupsAvg,14089964,32,ZoneHttpRequestsAdaptiveGroupsSum,GH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2292,5.953246753246753,ZoneHttpRequestsAdaptiveGroupsAvg,16184280,52,ZoneHttpRequestsAdaptiveGroupsSum,MV,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2256,5.115646258503402,ZoneHttpRequestsAdaptiveGroupsAvg,14626892,64,ZoneHttpRequestsAdaptiveGroupsSum,AL,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
2028,5.121212121212121,ZoneHttpRequestsAdaptiveGroupsAvg,24381280,36,ZoneHttpRequestsAdaptiveGroupsSum,KG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1908,4.746268656716418,ZoneHttpRequestsAdaptiveGroupsAvg,12504464,24,ZoneHttpRequestsAdaptiveGroupsSum,OM,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1896,5.110512129380054,ZoneHttpRequestsAdaptiveGroupsAvg,11746128,84,ZoneHttpRequestsAdaptiveGroupsSum,BO,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1760,5.301204819277109,ZoneHttpRequestsAdaptiveGroupsAvg,12214936,44,ZoneHttpRequestsAdaptiveGroupsSum,KH,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1528,4.340909090909091,ZoneHttpRequestsAdaptiveGroupsAvg,11794776,52,ZoneHttpRequestsAdaptiveGroupsSum,CI,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1524,5.562043795620438,ZoneHttpRequestsAdaptiveGroupsAvg,10380424,24,ZoneHttpRequestsAdaptiveGroupsSum,VC,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1436,4.662337662337662,ZoneHttpRequestsAdaptiveGroupsAvg,8197708,24,ZoneHttpRequestsAdaptiveGroupsSum,NA,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1416,4.72,ZoneHttpRequestsAdaptiveGroupsAvg,6300088,44,ZoneHttpRequestsAdaptiveGroupsSum,MM,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1364,5.014705882352941,ZoneHttpRequestsAdaptiveGroupsAvg,7682924,120,ZoneHttpRequestsAdaptiveGroupsSum,HN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1364,5.033210332103321,ZoneHttpRequestsAdaptiveGroupsAvg,6539888,8,ZoneHttpRequestsAdaptiveGroupsSum,GP,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1220,5.083333333333333,ZoneHttpRequestsAdaptiveGroupsAvg,5677216,28,ZoneHttpRequestsAdaptiveGroupsSum,SB,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1220,5.951219512195122,ZoneHttpRequestsAdaptiveGroupsAvg,7360400,8,ZoneHttpRequestsAdaptiveGroupsSum,AM,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1188,4.868852459016393,ZoneHttpRequestsAdaptiveGroupsAvg,6880576,36,ZoneHttpRequestsAdaptiveGroupsSum,MU,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1140,5.402843601895735,ZoneHttpRequestsAdaptiveGroupsAvg,10902492,32,ZoneHttpRequestsAdaptiveGroupsSum,ME,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1104,4.677966101694915,ZoneHttpRequestsAdaptiveGroupsAvg,5902572,32,ZoneHttpRequestsAdaptiveGroupsSum,UG,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
1100,5.045871559633028,ZoneHttpRequestsAdaptiveGroupsAvg,6119724,20,ZoneHttpRequestsAdaptiveGroupsSum,BN,ZoneHttpRequestsAdaptiveGroupsDimensions,ZoneHttpRequestsAdaptiveGroups
